username,text,created_at,retweets,likes,search_terms
Metrópoles,"➡️ Bauru: após nomear mãe, prefeita fica noiva de presidente de autarquia

Suéllen Rosim ficou noiva do presidente do Departamento de Água e Esgoto da cidade, nomeado por ela em 2024

Leia: https://t.co/h3o3jmsAkc https://t.co/uKbJxjiIL7",2025-02-18 12:33:29+00:00,8,33,"esgoto, água"
Lucas Bernardes,"vai tomar no cu duque de Caxias, uns buraco enorme no meio da avenida, pra foder c meu carro. n aguento mais esse asfalto lixo de Bauru que só serve pra estragar pneu, suspensão, e a porra toda e eu ter que gastar c isso dps. NAO TEM UMA RUA COM ASFALTO BOM NESSA CIDADE",2025-02-19 17:28:51+00:00,0,0,"asfalto, buraco, carro, lixo"
Metrópoles,"➡️  Homem é condenado a mais de 16 anos após jogar cadeirante do viaduto

Jorge Luis Faria de Moraes foi preso em flagrante em 2020 após jogar um cadeirante, em situação de rua, do viaduto, em Bauru

Leia: https://t.co/bcjv9e7i8F https://t.co/0UKc6ErTPC",2025-02-20 04:15:00+00:00,2,11,preso
Record Paulista,Loja furtada em Bauru: mais de R$ 200 MIL de prejuízo https://t.co/qcxyxDlSFW via @YouTube #RecordPaulista #PlayPlus #R7,2025-02-24 20:35:59+00:00,0,0,furtada
g1,Tutor é preso em flagrante após abandonar filhote de cachorro em carro fechado sob o sol no interior de SP https://t.co/EGZHkWPkSd #g1,2025-02-25 00:00:01+00:00,9,218,"carro, preso"
sertral¡a ★ 🇵🇸,para o DEMONIO infeliz que mora em bauru e entrou na minha conta do roblox: eu espero que SUAS BOLAS CAIAM e voce seja levado pela ENXURRADA ate o ESGOTO 🖕vou rastrear seu ip pra descobrir seu endereço e deixar 10 milhões de mosquitos da dengue INFECTADOS na porta da SUA casa 🖕,2025-02-26 03:23:14+00:00,1,2,"dengue, enxurrada, esgoto"
ianzito.,esse arrombado que tem olhos de picles e lingua de rosbife fica escanteado na rodoviaria de bauru e já foi roubado umas 3 vezes. muito bom pertencer.,2025-02-27 22:06:47+00:00,3,34,roubado
Marxista.Blog 🇨🇺🇦🇴🇲🇿🇨🇻🇵🇸🇧🇫🇲🇱,@vitorlara31 Na verdade o pinguim é conhecido por Rodrigo Esgotinho porque quando prefeito de Bauru não terminou a obra de tratamento de esgoto da cidade. Isso sim é que é crime ambiental. https://t.co/G4IpouKxNs,2025-02-28 20:38:41+00:00,0,2,"crime, esgoto, obra"
Agência SP,"#Saúde Saúde alerta para importância da vacinação contra a dengue; veja cobertura na região de Bauru.

https://t.co/TwZ082jCRn",2025-03-01 13:40:00+00:00,0,0,dengue
🍓Moghis🍓,é melhor essa academia do oscar nao pisar em bauru sp pq estao todos jurados de morte,2025-03-03 03:51:15+00:00,1,13,morte
bailentheress 1.5,juro vei ter a mesma festa nas mesmas republicas com os mesmos djs toda semana não faz de bauru menos morta .,2025-03-05 22:09:19+00:00,2,13,morta
Bru,"Se bauru não tá com cheiro de esgoto tá com cheiro de queimada
Cidade podre!",2025-03-06 11:55:54+00:00,0,0,"esgoto, queimada"
Polícia Militar do Estado de São Paulo,"Mulher é presa em ônibus com mais de 50 kg de maconha durante fiscalização na SP-225, em Bauru/SP
Confira:https://t.co/jLsUfcV2gd https://t.co/FKF0EK4jUS",2025-03-07 11:51:20+00:00,17,107,"maconha, presa, ônibus"
alexia,"final de semana que vem vou fazer trilha aqui em bauru sozinha, se eu sumir já sabem que fui morta",2025-03-10 01:19:47+00:00,0,1,morta
Polícia Militar do Estado de São Paulo,"Traficante de drogas é preso em Bauru/SP
Confira:https://t.co/mMFten7Twl https://t.co/BZkhQIR81h",2025-03-11 18:09:46+00:00,2,26,"droga, preso, traficante"
tadssss,toda vez q alguem vem me falar q ta triste pq eu vou pra bauru um pedaço de mim morre pqp amo mto essa unesp araraquara nao tem jeito,2025-03-14 17:57:39+00:00,0,16,morre
Cleiton Lucas,Após a chuva destruir 80% de Bauru só me resta ir dormir sem energia!,2025-03-15 23:30:21+00:00,3,5,"chuva, energia"
Gabiiii,"odeio qdo acaba luz em Bauru, privatizaram essa merda de CPFL e demora anos pra religaram a energia e essa prefeitura do capeta é um inferno pra poder cortar 1 árvore q balança os fios da energia e solta faíscas nas ruas, um INFERNO, uma burocracia do cão e se vc corta leva multa",2025-03-16 00:18:07+00:00,0,1,"cpfl, energia, luz, prefeitura, árvore"
Luca (Taylor's Version),simplesmente o maior temporal babilônico em bauru acabou luz acabou tudo começou a entrar água no meu apartamento por baixo da porta e pra janela do banheiro eu fiquei desesperado mds https://t.co/JhppK6jvyF,2025-03-16 00:24:56+00:00,3,10,"luz, temporal, água"
Alma Preta,"Para uma das vítimas do ataque em Bauru, o crime se trata de uma tentativa de intimidação; um boletim de ocorrência foi registrado na Polícia Civil
https://t.co/z65YqhGuhK",2025-03-24 20:00:40+00:00,0,5,"crime, polícia"
Ana Bia,Qualquer poça de água é alagamento aqui em Bauru,2025-03-26 10:14:01+00:00,0,0,"alagamento, água"
Defesa Civil do Estado de São Paulo,"Juntos contra a dengue!

Estivemos em Bauru em mais uma grande ação de combate ao mosquito Aedes aegypti.

Previna. Participe. Proteja. https://t.co/jIWV9ZzXIo",2025-03-26 16:47:28+00:00,3,16,dengue
Polícia Militar do Estado de São Paulo,"Traficante de drogas é preso em Bauru/SP
Confira:https://t.co/9j4sYpG7Eg https://t.co/7h0Ob6Pn5M",2025-03-27 13:31:41+00:00,5,68,"droga, preso, traficante"
Grupo do bem estar,"DENGUE GRAVE mata mulher de 23 anos em Bauru. Em Americana, Decreto de Emergência  por Dengue Grave.https://t.co/omECSY4Oh1 #flamengo #internacional #futebol #dorivaljr #ancelotti #seleção #cbf #zoonoses #oms #anvisa #repelente #icaridina #soroterapia #hidratação #água #plaquetas https://t.co/nWCks2S5s8",2025-03-30 02:13:25+00:00,0,0,"dengue, água"
Léo Vilhena ✠ ,"Motociclista morre após bater na traseira de carro em Bauru

#Acidente #Bauru #saopaulo #redegni

https://t.co/nkzKKo2GVK",2025-03-30 13:11:25+00:00,0,0,"acidente, carro, morre, moto"
news and ufology,"Assalto na esquina da Unigranrio em frente ao Bauru na 25 de agosto, Duque de Caxias, Rio de Janeiro, Brasil. https://t.co/fZ0sJjMyq4",2025-03-30 21:09:49+00:00,2,3,assalto
comida de hipertenso,"peguei no blablacar um mlk com um Palio duro duro, que passa em buraco e parece que tô sentando o cu no asfalto aí ele quer colocar 150km/h bauru Marília (que a 100 já dá uma horinha só de viagem) e essa caixa de alumínio tá tremendo mais que avião da azul em turbulência",2025-03-30 21:19:40+00:00,0,7,"asfalto, buraco"
🍓Moghis🍓,"eu sempre falo que odeio bauru mas sinto muita falta dos meus amigos de la, sempre que to na cidade que eu faço faculdade é muito solitario no fim eu so quero me formar logo e sair desse buraco eu nao aguento mais",2025-04-04 21:15:58+00:00,1,10,buraco
g1 Bauru,"Colegas lamentam morte de piloto Eduardo Imamura em acidente na BR-153
https://t.co/8BZJIvkOrx

#g1 #Marilia https://t.co/UsthNf26QE",2025-04-07 12:17:19+00:00,0,1,"acidente, morte"
g1 Bauru,"Filho do piloto Eduardo Imamura morre após acidente na BR-153
https://t.co/TgrMgirN18

#g1 #Marilia",2025-04-08 12:37:22+00:00,0,0,"acidente, morre"
Marechal,"Assalto a banco profissional em Bauru 🚨🚨🚨

Quatro criminosos, dois deles armados, escalaram a parede de uma agência bancária, entraram pelo teto e renderam os funcionários.

Deixaram o local poucos minutos depois levando o dinheiro, sem disparar alarmes ou deixar feridos

👇 https://t.co/1Sj06zbDdx",2025-04-08 17:49:29+00:00,0,3,"assalto, criminoso"
g1 Bauru,"🚨Em 15 minutos, criminosos levam quase meio milhão de reais de agência bancária durante roubo com reféns
https://t.co/myuvauCUYn #g1 #Bauru https://t.co/j9HDmTRTpp",2025-04-08 22:41:37+00:00,0,0,"criminoso, roubo"
g1 Bauru,Dengue tipo 4 é confirmada em Bauru e cidade passa a ter circulação de todos os sorotipos https://t.co/ZYmty5h4a8 #g1 #Bauru,2025-04-08 23:17:11+00:00,0,0,dengue
Jornal O Dia,Quadrilha armada rouba R$ 470 mil de agência do Banco do Brasil em Bauru. #Roubo #Segurança #Polícia #SãoPaulo #ODia https://t.co/rRjoXAsOcb,2025-04-09 15:46:01+00:00,0,2,"polícia, roubo"
g1 Bauru,"Mulher é presa em flagrante por jogar soda cáustica no rosto de dono de academia
https://t.co/uzykFFM8CW

#g1 #Marília https://t.co/IqJrMYGlWq",2025-04-09 16:52:39+00:00,0,0,presa
Band.com.br,"Homem é preso levando quase 60 celulares a presídio em Bauru (SP)

https://t.co/0RZWPV2uC2",2025-04-10 17:24:43+00:00,0,1,preso
Band Jornalismo,"Homem é preso levando quase 60 celulares a presídio em Bauru (SP)

https://t.co/71sSneLWna",2025-04-10 17:24:57+00:00,0,1,preso
sâmi,investiguem a água que essas manas do bauru tomaram no intervalo do primeiro set https://t.co/548I4gtj3V,2025-04-10 21:51:58+00:00,4,68,água
CNN Brasil,"Homem é preso tentando levar drogas e 60 celulares à penitenciária em Bauru

https://t.co/lDG3RIFfdc",2025-04-10 22:39:00+00:00,5,14,"droga, preso"
Gazeta Brasil,Homem que levaria drogas e quase 60 celulares à penitenciária é preso em Bauru (SP) - https://t.co/gM8FJYVSwX,2025-04-11 00:23:30+00:00,19,104,"droga, preso"
SBT Jornalismo,"➡️Homem é preso com quase 60 celulares que seriam entregues a presídio em Bauru

Suspeito também foi flagrado com acessórios eletrônicos e droga #sbtnews
https://t.co/r4HkAolFc0",2025-04-11 03:30:01+00:00,0,4,"droga, preso"
g1 Bauru,"Bauru vira o epicentro do sorotipo 4 da dengue em SP, alerta especialista
https://t.co/LfLQYeUcPO

#g1 #Bauru #dengue https://t.co/MYwNWhqTrT",2025-04-11 12:20:41+00:00,0,0,dengue
Agência SP,"#Segurança Homem que levaria drogas e quase 60 celulares à penitenciária é preso em Bauru.

https://t.co/ABScJLenkm",2025-04-11 13:20:00+00:00,0,0,"droga, preso"
Tarcísio Gomes de Freitas,"NINGUÉM AGUENTA MAIS PROMESSA! E é por isso que demos fim à espera e antecipamos a entrega de modernização da rodovia Osni Mateus, (SP 261), que liga os municípios de Borebi e Lençóis Paulista, na região de Bauru. Uma obra aguardada há 60 anos e que agora é uma realidade e é https://t.co/whjmb4bs4u",2025-04-12 12:03:28+00:00,1643,9375,obra
g1 Bauru,🚔 Homem é preso após ingerir mais de 40 cápsulas de cocaína em Assis https://t.co/wsjwAfTPst #g1 #Assis,2025-04-12 13:21:50+00:00,0,2,"cocaína, preso"
g1 Bauru,"Trio é preso em flagrante durante operação contra tráfico de drogas em Botucatu
https://t.co/R3EpgWRqZQ

#g1 #Botucatu https://t.co/ubDQzyToAN",2025-04-12 19:34:52+00:00,0,1,"droga, operação, preso, tráfico"
g1 Bauru,"Homem morre ao ser prensado por cabine de caminhão em Bauru
https://t.co/PITg4Rzl4w

#g1 #Bauru https://t.co/PQFNwxNKto",2025-04-12 21:39:09+00:00,0,1,"caminhão, morre"
g1 Bauru,"🚨 Queda de 70 metros
Piloto de paraglider morre após sofrer acidente durante voo em Botucatu
https://t.co/DzMsGRQ1Bd #g1 #Botucatu",2025-04-13 14:54:45+00:00,0,2,"acidente, morre, queda"
g1 Bauru,"🦟 Marília realiza nebulização noturna contra a dengue em 11 áreas a partir desta segunda-feira; veja os locais
https://t.co/uGVtPKx7ou #g1 #Marília https://t.co/AlLaXtMgpp",2025-04-13 21:48:28+00:00,0,0,dengue
g1 Bauru,"Homem é preso suspeito de invadir hospital e agredir ex-mulher que acompanhava o filho internado em Tupã
https://t.co/zKJOOR1Ga3

#g1 #Tupã https://t.co/PbtSUNoVRX",2025-04-14 17:39:44+00:00,0,0,"hospital, preso"
g1 Bauru,"🚨 Adolescente é apreendido e jovem é preso durante operação contra rede de crimes de ódio
https://t.co/WVekZGW4gU #g1 #Bauru https://t.co/K0afTW6Mug",2025-04-15 17:26:20+00:00,0,1,"crime, operação, preso"
g1 Bauru,"🚨 Polícia Civil realiza operação contra facção criminosa em SP
https://t.co/4PUiXyTWxZ #g1 #Pardinho #Bauru https://t.co/nBDkOK4OUR",2025-04-15 17:26:44+00:00,0,0,"criminosa, operação, polícia"
Governo de S. Paulo,"Antes e depois da Rodovia Osni Mateus (SP 261) 🚧

O @governosp entregou as obras de melhoria da rodovia que liga os municípios de Borebi e Lençóis Paulista, na região de Bauru. A obra é uma das 1.500 contempladas pelo #SPPraTodaObra, o maior programa de modernização rodoviária https://t.co/R3mPtoffLL",2025-04-15 22:23:09+00:00,6,23,obra
